PRODUCT,DRAW NUMBER,SEQUENCE NUMBER,DRAW DATE,NUMBER DRAWN 1,NUMBER DRAWN 2,NUMBER DRAWN 3,NUMBER DRAWN 4,NUMBER DRAWN 5,NUMBER DRAWN 6,NUMBER DRAWN 7,BONUS NUMBER
LOTTO MAX,39,28,18/06/2010,5,6,24,26,40,45,49,0
LOTTO MAX,39,29,18/06/2010,9,19,36,40,42,46,48,0
LOTTO MAX,39,30,18/06/2010,8,19,24,25,27,31,45,0
LOTTO MAX,39,31,18/06/2010,1,6,13,17,18,25,29,0
LOTTO MAX,39,32,18/06/2010,18,30,37,39,42,44,48,0
LOTTO MAX,39,33,18/06/2010,8,15,18,21,38,40,49,0
LOTTO MAX,39,34,18/06/2010,15,21,30,32,40,46,48,0
LOTTO MAX,39,35,18/06/2010,6,12,30,42,44,46,49,0
LOTTO MAX,39,36,18/06/2010,4,10,11,21,31,32,41,0
LOTTO MAX,39,37,18/06/2010,2,9,15,20,32,33,49,0
LOTTO MAX,39,38,18/06/2010,4,9,20,21,24,33,42,0
LOTTO MAX,39,39,18/06/2010,2,9,11,17,23,25,35,0
LOTTO MAX,39,40,18/06/2010,14,17,18,29,34,45,46,0
LOTTO MAX,39,41,18/06/2010,2,18,25,27,32,41,43,0
LOTTO MAX,39,42,18/06/2010,5,15,17,21,40,44,45,0
LOTTO MAX,39,43,18/06/2010,10,12,17,39,45,46,49,0
LOTTO MAX,39,44,18/06/2010,7,16,21,28,33,40,41,0
LOTTO MAX,39,45,18/06/2010,2,6,12,22,33,35,45,0
LOTTO MAX,40,0,25/06/2010,5,22,28,31,39,46,48,4
LOTTO MAX,40,1,25/06/2010,15,20,26,35,43,45,47,0
LOTTO MAX,40,2,25/06/2010,2,12,18,21,23,31,37,0
LOTTO MAX,40,3,25/06/2010,5,19,20,33,35,43,49,0
LOTTO MAX,40,4,25/06/2010,26,28,35,38,39,44,49,0
LOTTO MAX,40,5,25/06/2010,18,23,28,35,39,42,44,0
LOTTO MAX,40,6,25/06/2010,26,28,31,32,34,43,44,0
LOTTO MAX,40,7,25/06/2010,13,23,26,28,35,42,45,0
LOTTO MAX,40,8,25/06/2010,12,19,21,33,41,43,44,0
LOTTO MAX,40,9,25/06/2010,1,6,13,14,18,33,42,0
LOTTO MAX,40,10,25/06/2010,2,17,25,27,33,41,43,0
LOTTO MAX,40,11,25/06/2010,10,11,13,23,28,37,44,0
LOTTO MAX,40,12,25/06/2010,3,9,28,31,35,43,49,0
LOTTO MAX,40,13,25/06/2010,5,7,9,11,20,32,46,0
LOTTO MAX,40,14,25/06/2010,6,8,12,37,40,43,47,0
LOTTO MAX,40,15,25/06/2010,3,8,10,18,24,31,43,0
LOTTO MAX,40,16,25/06/2010,2,13,19,29,32,38,48,0
LOTTO MAX,40,17,25/06/2010,4,20,33,37,45,47,49,0
LOTTO MAX,40,18,25/06/2010,10,21,27,34,36,48,49,0
LOTTO MAX,40,19,25/06/2010,4,7,8,18,20,34,39,0
LOTTO MAX,40,20,25/06/2010,4,7,11,16,20,39,44,0
LOTTO MAX,40,21,25/06/2010,11,20,26,38,42,45,48,0
LOTTO MAX,40,22,25/06/2010,2,5,22,27,44,47,49,0
LOTTO MAX,40,23,25/06/2010,14,18,21,23,29,35,47,0
LOTTO MAX,40,24,25/06/2010,9,13,15,29,32,38,40,0
LOTTO MAX,40,25,25/06/2010,6,15,16,18,33,39,46,0
LOTTO MAX,40,26,25/06/2010,7,9,17,20,31,41,45,0
LOTTO MAX,40,27,25/06/2010,6,13,24,27,38,40,45,0
LOTTO MAX,40,28,25/06/2010,1,6,7,10,17,31,33,0
LOTTO MAX,40,29,25/06/2010,4,6,27,29,30,35,49,0
LOTTO MAX,40,30,25/06/2010,4,5,16,20,25,42,49,0
LOTTO MAX,40,31,25/06/2010,3,16,17,26,29,35,44,0
LOTTO MAX,40,32,25/06/2010,19,22,32,34,38,40,43,0
LOTTO MAX,40,33,25/06/2010,3,7,11,40,42,45,47,0
LOTTO MAX,40,34,25/06/2010,4,9,18,28,40,41,46,0
LOTTO MAX,40,35,25/06/2010,2,8,11,22,28,32,42,0
